iter	Passed	Remaining
253	3554	10438
254	3568	10424
255	3582	10410
256	3594	10393
257	3608	10377
258	3621	10360
259	3635	10346
260	3648	10329
261	3662	10315
262	3676	10301
263	3688	10284
264	3702	10268
265	3715	10252
266	3728	10235
267	3741	10218
268	3753	10200
269	3767	10184
270	3779	10168
271	3793	10152
272	3806	10135
273	3819	10120
274	3832	10105
275	3846	10090
276	3860	10076
277	3874	10063
278	3888	10048
279	3903	10037
280	3918	10025
281	3932	10013
282	3946	9997
283	3959	9982
284	3973	9969
285	3987	9955
286	4001	9941
287	4015	9927
288	4028	9911
289	4042	9898
290	4057	9884
291	4070	9870
292	4084	9856
293	4099	9843
294	4112	9829
295	4126	9815
296	4140	9800
297	4154	9786
298	4168	9771
299	4180	9755
300	4195	9741
301	4209	9729
302	4223	9716
303	4237	9702
304	4252	9689
305	4265	9674
306	4279	9660
307	4293	9645
308	4307	9632
309	4321	9618
310	4335	9605
311	4350	9592
312	4363	9576
313	4376	9561
314	4390	9546
315	4403	9532
316	4417	9518
317	4430	9502
318	4443	9486
319	4457	9471
320	4469	9455
321	4482	9439
322	4495	9423
323	4509	9407
324	4522	9393
325	4535	9376
326	4548	9361
327	4561	9345
328	4574	9329
329	4587	9313
330	4600	9297
331	4613	9281
332	4625	9265
333	4639	9250
334	4651	9234
335	4664	9218
336	4677	9203
337	4691	9189
338	4704	9173
339	4717	9157
340	4730	9142
341	4743	9126
342	4756	9111
343	4770	9097
344	4783	9081
345	4797	9067
346	4810	9051
347	4823	9036
348	4836	9020
349	4849	9006
350	4862	8990
351	4875	8975
352	4888	8960
353	4901	8944
354	4914	8929
355	4928	8914
356	4940	8898
357	4953	8883
358	4966	8868
359	4980	8853
360	4993	8838
361	5006	8824
362	5020	8809
363	5032	8793
364	5045	8777
365	5058	8762
366	5071	8746
367	5084	8731
368	5097	8717
369	5110	8702
370	5123	8687
371	5136	8671
372	5149	8656
373	5162	8641
374	5175	8625
375	5188	8610
376	5201	8595
377	5214	8580
378	5227	8565
379	5240	8550
380	5253	8535
381	5266	8519
382	5279	8504
383	5292	8490
384	5305	8475
385	5318	8460
386	5332	8445
387	5345	8430
388	5358	8415
389	5371	8401
390	5384	8386
391	5397	8372
392	5411	8358
393	5424	8343
394	5437	8328
395	5450	8313
396	5463	8299
397	5477	8284
398	5489	8268
399	5502	8254
400	5515	8238
401	5528	8224
402	5541	8209
403	5553	8193
404	5567	8179
405	5579	8163
406	5592	8148
407	5605	8133
408	5618	8119
409	5631	8104
410	5644	8089
411	5658	8075
412	5671	8060
413	5684	8046
414	5697	8031
415	5711	8017
416	5723	8002
417	5737	7988
418	5750	7974
419	5763	7958
420	5776	7944
421	5790	7930
422	5803	7916
423	5816	7901
424	5829	7887
425	5842	7872
426	5855	7857
427	5868	7843
428	5881	7827
429	5894	7813
430	5907	7798
431	5920	7784
432	5933	7769
433	5946	7755
434	5959	7740
435	5972	7725
436	5984	7710
437	5998	7696
438	6011	7681
439	6024	7667
440	6038	7654
441	6052	7640
442	6066	7627
443	6079	7613
444	6094	7600
445	6107	7586
446	6121	7573
447	6135	7559
448	6149	7547
449	6163	7533
450	6176	7518
451	6189	7503
452	6202	7489
453	6215	7475
454	6228	7460
455	6242	7446
456	6255	7432
457	6268	7418
458	6281	7404
459	6295	7389
460	6308	7376
461	6322	7362
462	6336	7348
463	6349	7335
464	6364	7322
465	6377	7308
466	6390	7294
467	6404	7279
468	6417	7266
469	6431	7252
470	6445	7239
471	6459	7225
472	6472	7211
473	6486	7197
474	6500	7184
475	6513	7170
476	6528	7157
477	6541	7143
478	6554	7129
479	6567	7115
480	6581	7100
481	6594	7086
482	6607	7072
483	6620	7058
484	6633	7044
485	6647	7030
486	6660	7016
487	6673	7001
488	6686	6987
489	6699	6973
490	6712	6959
491	6726	6944
492	6739	6930
493	6752	6916
494	6764	6901
495	6777	6887
496	6790	6872
497	6803	6858
498	6816	6843
499	6829	6829
500	6844	6816
501	6857	6802
502	6870	6788
503	6883	6774
504	6896	6759
505	6909	6745
506	6922	6731
507	6936	6717
508	6949	6703
509	6962	6689
510	6976	6675
511	6989	6662
512	7003	6648
513	7016	6634
514	7029	6620
515	7042	6605
516	7055	6591
517	7068	6577
518	7081	6563
519	7094	6549
520	7107	6534
521	7120	6520
522	7133	6505
523	7146	6491
524	7159	6477
525	7172	6463
526	7185	6449
527	7198	6434
528	7211	6420
529	7224	6406
530	7236	6391
531	7250	6377
532	7262	6363
533	7275	6348
534	7289	6335
535	7302	6321
536	7315	6307
537	7328	6293
538	7341	6279
539	7355	6265
540	7369	6252
541	7381	6237
542	7394	6223
543	7408	6209
544	7421	6195
545	7434	6181
546	7447	6168
547	7461	6153
548	7474	6139
549	7487	6125
550	7499	6111
551	7513	6097
552	7526	6083
553	7539	6069
554	7552	6055
555	7565	6041
556	7579	6027
557	7592	6013
558	7605	5999
559	7617	5985
560	7631	5971
561	7644	5957
562	7656	5943
563	7669	5929
564	7683	5915
565	7696	5901
566	7709	5887
567	7722	5873
568	7734	5858
569	7747	5844
570	7760	5830
571	7773	5816
572	7786	5802
573	7800	5788
574	7813	5775
575	7826	5761
576	7839	5747
577	7853	5733
578	7865	5719
579	7878	5705
580	7891	5691
581	7904	5677
582	7917	5663
583	7930	5649
584	7944	5635
585	7966	5628
586	7979	5614
587	7992	5600
588	8005	5586
589	8018	5571
590	8031	5558
591	8044	5543
592	8057	5529
593	8069	5515
594	8083	5501
595	8096	5488
596	8109	5474
597	8122	5460
598	8135	5446
599	8148	5432
600	8161	5418
601	8175	5404
602	8188	5391
603	8201	5377
604	8214	5363
605	8227	5349
606	8240	5335
607	8253	5321
608	8265	5307
609	8279	5293
610	8291	5279
611	8305	5265
612	8318	5251
613	8332	5238
614	8345	5224
615	8358	5210
616	8371	5196
617	8384	5182
618	8398	5169
619	8410	5154
620	8423	5140
621	8436	5127
622	8449	5113
623	8462	5099
624	8475	5085
625	8488	5071
626	8502	5057
627	8514	5043
628	8527	5029
629	8540	5015
630	8553	5002
631	8569	4989
632	8588	4979
633	8601	4965
634	8614	4951
635	8627	4937
636	8641	4924
637	8654	4910
638	8667	4896
639	8680	4882
640	8693	4868
641	8706	4854
642	8719	4840
643	8732	4827
644	8745	4813
645	8758	4799
646	8772	4786
647	8785	4772
648	8798	4758
649	8811	4744
650	8824	4730
651	8837	4716
652	8850	4702
653	8863	4689
654	8876	4675
655	8889	4661
656	8901	4647
657	8915	4633
658	8928	4619
659	8941	4605
660	8953	4592
661	8966	4578
662	8979	4564
663	8992	4550
664	9005	4536
665	9018	4522
666	9032	4509
667	9045	4495
668	9058	4481
669	9071	4467
670	9084	4454
671	9097	4440
672	9110	4426
673	9123	4413
674	9136	4399
675	9149	4385
676	9162	4371
677	9175	4357
678	9188	4344
679	9201	4330
680	9214	4316
681	9226	4302
682	9239	4288
683	9253	4274
684	9265	4260
685	9279	4247
686	9292	4233
687	9305	4219
688	9318	4206
689	9331	4192
690	9344	4178
691	9357	4164
692	9370	4151
693	9384	4137
694	9397	4123
695	9410	4110
696	9423	4096
697	9436	4082
698	9449	4069
699	9462	4055
700	9475	4041
701	9488	4028
702	9502	4014
703	9514	4000
704	9527	3986
705	9540	3972
706	9554	3959
707	9567	3945
708	9580	3932
709	9593	3918
710	9606	3904
711	9619	3891
712	9632	3877
713	9646	3863
714	9659	3850
715	9671	3836
716	9684	3822
717	9698	3809
718	9711	3795
719	9724	3781
720	9737	3768
721	9750	3754
722	9763	3740
723	9776	3726
724	9789	3713
725	9802	3699
726	9815	3685
727	9828	3672
728	9841	3658
729	9854	3644
730	9867	3631
731	9880	3617
732	9893	3603
733	9906	3590
734	9919	3576
735	9932	3562
736	9945	3549
737	9958	3535
738	9971	3521
739	9983	3507
740	9996	3494
741	10009	3480
742	10022	3466
743	10035	3453
744	10048	3439
745	10061	3425
746	10074	3412
747	10087	3398
748	10100	3384
749	10113	3371
750	10126	3357
751	10139	3343
752	10152	3330
753	10165	3316
754	10178	3302
755	10191	3289
756	10203	3275
757	10216	3261
758	10229	3248
759	10242	3234
760	10256	3221
761	10269	3207
762	10282	3193
763	10295	3180
764	10308	3166
765	10322	3153
766	10335	3139
767	10348	3126
768	10361	3112
769	10374	3098
770	10387	3085
771	10399	3071
772	10412	3057
773	10425	3044
774	10437	3030
775	10450	3016
776	10463	3003
777	10476	2989
778	10490	2975
779	10502	2962
780	10515	2948
781	10528	2935
782	10541	2921
783	10554	2907
784	10567	2894
785	10580	2880
786	10594	2867
787	10607	2853
788	10620	2840
789	10633	2826
790	10646	2813
791	10659	2799
792	10672	2785
793	10685	2772
794	10699	2758
795	10712	2745
796	10725	2731
797	10738	2718
798	10751	2704
799	10763	2690
800	10776	2677
801	10789	2663
802	10802	2650
803	10815	2636
804	10828	2623
805	10842	2609
806	10855	2596
807	10868	2582
808	10881	2569
809	10894	2555
810	10907	2541
811	10920	2528
812	10933	2514
813	10946	2501
814	10959	2487
815	10972	2474
816	10986	2460
817	10999	2447
818	11012	2433
819	11024	2420
820	11037	2406
821	11050	2393
822	11064	2379
823	11076	2365
824	11089	2352
825	11102	2338
826	11116	2325
827	11129	2311
828	11142	2298
829	11155	2284
830	11168	2271
831	11181	2257
832	11194	2244
833	11207	2230
834	11220	2217
835	11233	2203
836	11246	2190
837	11259	2176
838	11272	2163
839	11285	2149
840	11298	2136
841	11311	2122
842	11324	2109
843	11337	2095
844	11350	2082
845	11364	2068
846	11377	2055
847	11390	2041
848	11403	2028
849	11415	2014
850	11428	2001
851	11441	1987
852	11454	1974
853	11468	1960
854	11481	1947
855	11494	1933
856	11507	1920
857	11520	1906
858	11533	1893
859	11546	1879
860	11559	1866
861	11572	1852
862	11585	1839
863	11598	1825
864	11611	1812
865	11625	1798
866	11638	1785
867	11651	1771
868	11664	1758
869	11678	1744
870	11691	1731
871	11703	1718
872	11716	1704
873	11729	1690
874	11743	1677
875	11755	1664
876	11769	1650
877	11782	1637
878	11795	1623
879	11809	1610
880	11821	1596
881	11835	1583
882	11848	1570
883	11861	1556
884	11875	1543
885	11888	1529
886	11901	1516
887	11914	1502
888	11927	1489
889	11940	1475
890	11953	1462
891	11966	1448
892	11979	1435
893	11993	1422
894	12006	1408
895	12019	1395
896	12031	1381
897	12044	1368
898	12057	1354
899	12070	1341
900	12083	1327
901	12096	1314
902	12109	1300
903	12122	1287
904	12135	1273
905	12148	1260
906	12161	1246
907	12174	1233
908	12186	1220
909	12199	1206
910	12212	1193
911	12225	1179
912	12238	1166
913	12251	1152
914	12264	1139
915	12277	1125
916	12289	1112
917	12303	1099
918	12316	1085
919	12329	1072
920	12342	1058
921	12355	1045
922	12369	1031
923	12382	1018
924	12395	1005
925	12408	991
926	12421	978
927	12435	964
928	12448	951
929	12461	937
930	12473	924
931	12486	911
932	12499	897
933	12511	884
934	12525	870
935	12538	857
936	12551	843
937	12565	830
938	12578	817
939	12591	803
940	12605	790
941	12617	776
942	12630	763
943	12643	750
944	12656	736
945	12669	723
946	12682	709
947	12695	696
948	12710	683
949	12723	669
950	12736	656
951	12749	642
952	12762	629
953	12775	616
954	12788	602
955	12801	589
956	12814	575
957	12827	562
958	12840	548
959	12853	535
960	12866	522
961	12879	508
962	12892	495
963	12905	481
964	12918	468
965	12931	455
966	12945	441
967	12958	428
968	12971	414
969	12984	401
970	12997	388
971	13010	374
972	13023	361
973	13037	348
974	13050	334
975	13063	321
976	13077	307
977	13089	294
978	13103	281
979	13115	267
980	13128	254
981	13141	240
982	13154	227
983	13167	214
984	13180	200
985	13193	187
986	13206	173
987	13219	160
988	13232	147
989	13245	133
990	13259	120
991	13272	107
992	13284	93
993	13297	80
994	13310	66
995	13324	53
996	13337	40
997	13350	26
998	13363	13
999	13376	0
